,Customer Name,Review,Ratingsint,Word_Length,Character_Length
0,ShopAholic!,  Good quality,5.0,2,14
1,Amazon Customer,  Nice product with Excellent service,5.0,5,37
2,Shakeel,  Amazing,5.0,1,9
3,Paras R.,  the purpose of getting healthy eating a muesli is crushed by eating this sugar loaded muesli.,1.0,16,95
4,Amazon Customer,"  It's been two whole days now and the taste of this cereal is so refreshing that I don't feel the need to munch on anything else throughout the day. Healthy, tasty and definitely smells so good.Oh and also, I totally forgot to mention, it uses flax seeds, which is quite honestly very rarely available these days but is so good for stomach issues, and the fact that it doesn't have a weird smell for all the mixed nuts is my favorite. Loving it. Gonna try different flavors next month!",4.0,89,486
5,Nikhil,  The product is filled with fruits and is a good value for money. If you like it sweeter then you could add some honey to enhance the flavours.,5.0,28,144
6,M Lonkar,  Loved it,5.0,2,10
7,Upasana Chakraborty,  Fineeeeeee nd superb...,5.0,3,25
8,Pooja Devlekar,"  I received a recently manufactured product, about which I was concerned before buying. The flavour is good. Amount of dried fruits, nuts, various seeds is very satisfying. Best museli.worth the money",5.0,31,201
9,Shiv Shankar Ash,  Kellogs Muesli Fruits and Nuts is better than this.,3.0,9,53
10,Ruchi,"  It's very tasty & healthy, I replaced my morning breakfast with this.",5.0,12,71
11,SAJJAL,  It's better to eat dry. With milk I don't like it's taste.,4.0,12,60
12,Amazon Customer,  Don't but if you dont like sugary tasteI dont like it 😔,1.0,12,57
13,Amaan pathan,  Much better than Kellogg's muesli. It's nutritious and delicious!,5.0,9,67
14,Pratham,  Great cereal for those who are health conscious. Very expensive though,4.0,11,72
15,Rashmi,"  very satisfied with the taste, it's really a nice breakfast in terms of both taste and flavor, I generally have it with hot milk and it tastes really nice, you can really feel the fruits and nuts. I think I am going to stick to the same for the time being",5.0,51,257
16,raj,  The taste is yum and crunchy . The fruits inside let me avoid the sugar in milk. I recommend it.,4.0,20,98
17,Sushma,  I do not like it,3.0,5,18
18,Muskan sayyed,  Quantity should be increased ! It ends in a 2-3 weeks ..,3.0,12,58
19,SB,  Thank you for gifting us strand of your hair as a bonus. I suppose the cereal would've been great had the employee cared to wear a hat to keep food sanitised. Many thanks YogaBar,1.0,34,180
20,Pooja Devlekar,  Awesome 👍 taste....must buy,5.0,4,29
21,Shiv Shankar Ash,  received package in good condition within a week thank you amazon..,5.0,11,69
