S.No.,Customer Name,Date,Ratings,Review Title,Review,Review_Time,Month,Year,index,Ratingsint,Word_Length,Character_Length,,Helpful Votes,test ,
0,ShopAholic!,Reviewed in India on 9 September 2020,5.0 out of 5 stars,Tasty good buy,  Good quality,09-09-20,September,2020,1,5,2,14,,          Helpful,0.00E+00,
1,Amazon Customer,Reviewed in India on 9 September 2020,5.0 out of 5 stars,Tasty crunchy musely plus excellent service,  Nice product with Excellent service,09-09-20,September,2020,2,5,5,37,,          Helpful,0.00E+00,
2,Shakeel,Reviewed in India on 9 September 2020,5.0 out of 5 stars,Awesome,  Amazing,09-09-20,September,2020,3,5,1,9,,          Helpful,0.00E+00,
3,Paras R.,Reviewed in India on 9 September 2020,1.0 out of 5 stars,too much sugar,  the purpose of getting healthy eating a muesli is crushed by eating this sugar loaded muesli.,09-09-20,September,2020,4,1,16,95,,          Helpful,0.00E+00,
4,Amazon Customer,Reviewed in India on 8 September 2020,4.0 out of 5 stars,Smells tasyea,"  It's been two whole days now and the taste of this cereal is so refreshing that I don't feel the need to munch on anything else throughout the day. Healthy, tasty and definitely smells so good.Oh and also, I totally forgot to mention, it uses flax seeds, which is quite honestly very rarely available these days but is so good for stomach issues, and the fact that it doesn't have a weird smell for all the mixed nuts is my favorite. Loving it. Gonna try different flavors next month!",08-09-20,September,2020,5,4,89,486,,          Helpful,0.00E+00,
5,Nikhil,Reviewed in India on 8 September 2020,5.0 out of 5 stars,Satisfied with the product,  The product is filled with fruits and is a good value for money. If you like it sweeter then you could add some honey to enhance the flavours.,08-09-20,September,2020,6,5,28,144,,          Helpful,0.00E+00,
6,M Lonkar,Reviewed in India on 8 September 2020,5.0 out of 5 stars,Extremely grateful,  Loved it,08-09-20,September,2020,7,5,2,10,,          Helpful,0.00E+00,
7,Upasana Chakraborty,Reviewed in India on 7 September 2020,5.0 out of 5 stars,...,  Fineeeeeee nd superb...,07-09-20,September,2020,8,5,3,25,,          Helpful,0.00E+00,
8,Pooja Devlekar,Reviewed in India on 7 September 2020,5.0 out of 5 stars,Very good product,"  I received a recently manufactured product, about which I was concerned before buying. The flavour is good. Amount of dried fruits, nuts, various seeds is very satisfying. Best museli.worth the money",07-09-20,September,2020,9,5,31,201,,          Helpful,0.00E+00,
9,Shiv Shankar Ash,Reviewed in India on 7 September 2020,3.0 out of 5 stars,Not as good as Kelloggs,  Kellogs Muesli Fruits and Nuts is better than this.,07-09-20,September,2020,10,3,9,53,,          Helpful,0.00E+00,
10,Ruchi,Reviewed in India on 6 September 2020,5.0 out of 5 stars,Healthy food,"  It's very tasty & healthy, I replaced my morning breakfast with this.",06-09-20,September,2020,11,5,12,71,,          Helpful,0.00E+00,
