,Customer Name,Date,Ratings,Review Title,Review,Sentiment_Score,index,Review_Time,Month,Year
0,ShopAholic!,Reviewed in India on 9 September 2020,5.0 out of 5 stars,Tasty good buy,  Good quality,neu,1,2020-09-09,9,2020
1,Amazon Customer,Reviewed in India on 9 September 2020,5.0 out of 5 stars,Tasty crunchy musely plus excellent service,  Nice product with Excellent service,pos,2,2020-09-09,9,2020
2,Shakeel,Reviewed in India on 9 September 2020,5.0 out of 5 stars,Awesome,  Amazing,pos,3,2020-09-09,9,2020
3,Paras R.,Reviewed in India on 9 September 2020,1.0 out of 5 stars,too much sugar,  the purpose of getting healthy eating a muesli is crushed by eating this sugar loaded muesli.,neu,4,2020-09-09,9,2020
4,Amazon Customer,Reviewed in India on 8 September 2020,4.0 out of 5 stars,Smells tasyea,"  It's been two whole days now and the taste of this cereal is so refreshing that I don't feel the need to munch on anything else throughout the day. Healthy, tasty and definitely smells so good.Oh and also, I totally forgot to mention, it uses flax seeds, which is quite honestly very rarely available these days but is so good for stomach issues, and the fact that it doesn't have a weird smell for all the mixed nuts is my favorite. Loving it. Gonna try different flavors next month!",pos,5,2020-09-08,9,2020
5,Nikhil,Reviewed in India on 8 September 2020,5.0 out of 5 stars,Satisfied with the product,  The product is filled with fruits and is a good value for money. If you like it sweeter then you could add some honey to enhance the flavours.,pos,6,2020-09-08,9,2020
6,M Lonkar,Reviewed in India on 8 September 2020,5.0 out of 5 stars,Extremely grateful,  Loved it,pos,7,2020-09-08,9,2020
7,Upasana Chakraborty,Reviewed in India on 7 September 2020,5.0 out of 5 stars,...,  Fineeeeeee nd superb...,pos,8,2020-09-07,9,2020
8,Pooja Devlekar,Reviewed in India on 7 September 2020,5.0 out of 5 stars,Very good product,"  I received a recently manufactured product, about which I was concerned before buying. The flavour is good. Amount of dried fruits, nuts, various seeds is very satisfying. Best museli.worth the money",pos,9,2020-09-07,9,2020
9,Shiv Shankar Ash,Reviewed in India on 7 September 2020,3.0 out of 5 stars,Not as good as Kelloggs,  Kellogs Muesli Fruits and Nuts is better than this.,neu,10,2020-09-07,9,2020
10,Ruchi,Reviewed in India on 6 September 2020,5.0 out of 5 stars,Healthy food,"  It's very tasty & healthy, I replaced my morning breakfast with this.",neu,11,2020-09-06,9,2020
11,SAJJAL,Reviewed in India on 6 September 2020,4.0 out of 5 stars,🙄,  It's better to eat dry. With milk I don't like it's taste.,neu,12,2020-09-06,9,2020
12,Amazon Customer,Reviewed in India on 6 September 2020,1.0 out of 5 stars,Don't like taste,  Don't but if you dont like sugary tasteI dont like it 😔,neg,13,2020-09-06,9,2020
13,Amaan pathan,Reviewed in India on 5 September 2020,5.0 out of 5 stars,Delicious,  Much better than Kellogg's muesli. It's nutritious and delicious!,pos,14,2020-09-05,9,2020
14,Pratham,Reviewed in India on 5 September 2020,4.0 out of 5 stars,Healthy cereal,  Great cereal for those who are health conscious. Very expensive though,pos,15,2020-09-05,9,2020
15,Rashmi,Reviewed in India on 4 September 2020,5.0 out of 5 stars,nice and tasty,"  very satisfied with the taste, it's really a nice breakfast in terms of both taste and flavor, I generally have it with hot milk and it tastes really nice, you can really feel the fruits and nuts. I think I am going to stick to the same for the time being",pos,16,2020-09-04,9,2020
16,raj,Reviewed in India on 4 September 2020,4.0 out of 5 stars,Yummy,  The taste is yum and crunchy . The fruits inside let me avoid the sugar in milk. I recommend it.,neu,17,2020-09-04,9,2020
17,Sushma,Reviewed in India on 4 September 2020,3.0 out of 5 stars,The box looks good,  I do not like it,neu,18,2020-09-04,9,2020
18,Muskan sayyed,Reviewed in India on 3 September 2020,3.0 out of 5 stars,Quantity should increase,  Quantity should be increased ! It ends in a 2-3 weeks ..,neu,19,2020-09-03,9,2020
19,SB,Reviewed in India on 2 September 2020,1.0 out of 5 stars,Free hair with cereal,  Thank you for gifting us strand of your hair as a bonus. I suppose the cereal would've been great had the employee cared to wear a hat to keep food sanitised. Many thanks YogaBar,pos,20,2020-09-02,9,2020
20,Pooja Devlekar,Reviewed in India on 2 September 2020,5.0 out of 5 stars,Awesome 👍 taste....must buy,  Awesome 👍 taste....must buy,pos,21,2020-09-02,9,2020
21,Shiv Shankar Ash,Reviewed in India on 2 September 2020,5.0 out of 5 stars,great breakfast option,  received package in good condition within a week thank you amazon..,pos,22,2020-09-02,9,2020
22,Aman Gupta,Reviewed in India on 1 September 2020,2.0 out of 5 stars,Not a great one,"  For this little amount of protein i would not like to eat this tasteless cereal. It's sitting in a corner now, nobody ever touches it.",neu,23,2020-09-01,9,2020
23,Arita Mondal,Reviewed in India on 1 September 2020,5.0 out of 5 stars,Nice,  Nice taste..well packed..but dnt knw what will do if it is damaged one..becoz it is not returnable,neu,24,2020-09-01,9,2020
24,Paro,Reviewed in India on 31 August 2020,5.0 out of 5 stars,Tastes good,"  It tastes good, good for diet because there is no added sugar",pos,25,2020-08-31,8,2020
25,Keerthu,Reviewed in India on 30 August 2020,4.0 out of 5 stars,"Good product, taste very nice",  It's a bit sweet because of the berries but still far better than any other product,pos,26,2020-08-30,8,2020
26,Debarpita Majumdar,Reviewed in India on 30 August 2020,4.0 out of 5 stars,very good product ordered 2nd time,"  good taste, healthy as well packaging needs to be improved.",pos,27,2020-08-30,8,2020
27,Kunal,Reviewed in India on 29 August 2020,5.0 out of 5 stars,Tasty n healthy,  I ordered for my hubby . N he really likes this product,neu,28,2020-08-29,8,2020
28,Karampreet Kaur,Reviewed in India on 29 August 2020,5.0 out of 5 stars,Tasty and healthy,"  It has a great flavor and one of the best muesli I have had. A bit higher on costs, but quality is good.",pos,29,2020-08-29,8,2020
29,Ruchi,Reviewed in India on 29 August 2020,4.0 out of 5 stars,Pls make packets only,  I like 40gms packets  bcs it is fresh and good flavour and exact quantity for breakfast,pos,30,2020-08-29,8,2020
30,AMALU ANTONY,Reviewed in India on 28 August 2020,5.0 out of 5 stars,Worthy but little expensive but overall really nice smell is good,  Very health tasty flavored... 👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌,pos,31,2020-08-28,8,2020
31,Sonia,Reviewed in India on 26 August 2020,1.0 out of 5 stars,Fraud,  Very bad this timeCompany faled to maintain quality.This time I got with no dry fruits in it only Grains @ Rs.400 for 700g.,neg,32,2020-08-26,8,2020
32,Pooja Devlekar,Reviewed in India on 25 August 2020,4.0 out of 5 stars,Item is good but delivery is poor,  Item is good but delivered in 12 days even after being a prime member,neu,33,2020-08-25,8,2020
33,Shiv Shankar Ash,Reviewed in India on 24 August 2020,4.0 out of 5 stars,Go for it!,  The pack is certainly very tasty and wholesome in health,neu,34,2020-08-24,8,2020
34,Khilendra Kumar sen,Reviewed in India on 24 August 2020,4.0 out of 5 stars,Not a healthy food at all. Too much sugar syrup taste that dominates other natural flavours,  Just too much sugar to my taste. Its doubtful if its all natural sugar or processed. It is more of a comfort food and less of a healthy food. The food should have been natural and not candied out in syrup. I was not expecting this from a brand that has Yoga in its name. Dissappointed,pos,35,2020-08-24,8,2020
35,Umang,Reviewed in India on 23 August 2020,5.0 out of 5 stars,Very healthy and tasty,  Nice love it,pos,36,2020-08-23,8,2020
36,Srikieee,Reviewed in India on 21 August 2020,5.0 out of 5 stars,Worth buying,  Worth for money💰💵,neu,37,2020-08-21,8,2020
37,Barnali,Reviewed in India on 21 August 2020,4.0 out of 5 stars,Good,  Nice flavour,neu,38,2020-08-21,8,2020
38,Puspani Das,Reviewed in India on 21 August 2020,5.0 out of 5 stars,Totally Loved it!,"  Writing this review after trying it for one week.I totally recommend this product. Taste is so good, especially taste of dried berries. At first try, you may not like it much but after trying 2-3 times, you will start loving it. You can add honey to make it sweeter.",pos,39,2020-08-21,8,2020
39,Alka Thakur,Reviewed in India on 20 August 2020,5.0 out of 5 stars,Excellent and Healthy,  Excellent and Healthy product.  Thanks,pos,40,2020-08-20,8,2020
40,sayela ,Reviewed in India on 20 August 2020,5.0 out of 5 stars,Reasonably priced premium quality muesli,"  Good flavour, good packaging and mostly value for money.",pos,41,2020-08-20,8,2020
41,akshay sharma,Reviewed in India on 20 August 2020,5.0 out of 5 stars,Extremely good,"  Very good product, full rich of dry fruits, good taste and very hygiene than any other brands int market. Very very nice. I liked it.",pos,42,2020-08-20,8,2020
42,Amazon Customer,Reviewed in India on 19 August 2020,5.0 out of 5 stars,Very tasty and healthy breakfast,  Very tasty and healthy breakfast,neu,43,2020-08-19,8,2020
43,VERA,Reviewed in India on 18 August 2020,4.0 out of 5 stars,Delicious,  The museli is good. Good handful of it with one glass of milk iss a perfect breakfast on the go.,pos,44,2020-08-18,8,2020
44,Pooja Devlekar,Reviewed in India on 17 August 2020,5.0 out of 5 stars,Tasty and healthy loved it,"  Healthy, tasty, delicious. Seeds, strawberries, rasins , nuts , muesli. Perfect for breakfast or evening snack time. Packing all good.",pos,45,2020-08-17,8,2020
45,Shiv Shankar Ash,Reviewed in India on 17 August 2020,5.0 out of 5 stars,Amazing flavour,"  Totally seems as they said , love it’s flavour!! Packaging is also good... worth buy",pos,46,2020-08-17,8,2020
46,sridhar,Reviewed in India on 16 August 2020,4.0 out of 5 stars,Totally worth it 👌🏻,"  It’s really good. It delivers on all the aspects. It has got it all what all is shown and what all is being claimed on the cover. Fruits, chia seeds, muesli everything. Flavors good. Taste is good. Totally a delight. Definitely value for money. Lasts around a week to 10 days. But definitely go for it. Chocolates good too. Except there are no actual chunks of chocolate how it’s shown on the packet.",pos,47,2020-08-16,8,2020
47,apoorva sood,Reviewed in India on 14 August 2020,5.0 out of 5 stars,.,  Good product,neu,48,2020-08-14,8,2020
48,Rashmi,Reviewed in India on 14 August 2020,5.0 out of 5 stars,Poor packaging but quality no compromise,  Poor packaging this time..... quality no compromise.... previously I had got best packaging.....,neu,49,2020-08-14,8,2020
49,shajila,Reviewed in India on 14 August 2020,5.0 out of 5 stars,Loved it,  Nutritious ..,neu,50,2020-08-14,8,2020
50,Stanley,Reviewed in India on 14 August 2020,5.0 out of 5 stars,The best muesli in India,  World-class product,neu,51,2020-08-14,8,2020
51,moikaseth,Reviewed in India on 14 August 2020,5.0 out of 5 stars,Loved it,"  It's absolutely delicious. The aroma, taste and the nutritious ingredients just make this perfect.Crispy and highly digestive.Would absolutely recommend this to all the people who love nuts and raisins.",pos,52,2020-08-14,8,2020
52,Soni,Reviewed in India on 13 August 2020,4.0 out of 5 stars,Excellent,  Vv good,neu,53,2020-08-13,8,2020
53,Hemant lakhani,Reviewed in India on 13 August 2020,5.0 out of 5 stars,Good product.,  Good product..Cost can be reduced.,neu,54,2020-08-13,8,2020
54,sabrina,Reviewed in India on 13 August 2020,4.0 out of 5 stars,ST,  Good qualityI recommend,pos,55,2020-08-13,8,2020
55,Swapnil,Reviewed in India on 13 August 2020,4.0 out of 5 stars,Excellent,  Excellent,pos,56,2020-08-13,8,2020
56,Pooja Devlekar,Reviewed in India on 13 August 2020,5.0 out of 5 stars,Yummyyy,  Tastebuds were happy😊,pos,57,2020-08-13,8,2020
57,Shiv Shankar Ash,Reviewed in India on 12 August 2020,5.0 out of 5 stars,U should try,  Flavour is great. This is the perfect food for breakfast 😋,pos,58,2020-08-12,8,2020
58,Deepsikha Sarkar,Reviewed in India on 12 August 2020,5.0 out of 5 stars,Awesome snacks,  Nice packing flavour is going.,neu,59,2020-08-12,8,2020
59,Ca@am89,Reviewed in India on 12 August 2020,5.0 out of 5 stars,Good product,"  I think it is good idea to buy also 500g plain oats and mix it with this yoga bar, or you will finish it in 4days, that will expensive. I just got it iam going to the store and buy the plain oats to mix. So I can enjoy for 10 days.",pos,60,2020-08-12,8,2020
60,Sarvaiya,Reviewed in India on 12 August 2020,5.0 out of 5 stars,Tasty,  Healthy abd tasty,neu,61,2020-08-12,8,2020
61,Ananya Bose,Reviewed in India on 11 August 2020,4.0 out of 5 stars,First See the ingredients list and then buy,  Costly and lots of sugar and sodium helps in increase weight and other health problems because of 5 percent sugar fo every 50 grams,neu,62,2020-08-11,8,2020
62,George Philip,Reviewed in India on 11 August 2020,5.0 out of 5 stars,Good,  Good,neu,63,2020-08-11,8,2020
63,Manish Choudhary,Reviewed in India on 10 August 2020,3.0 out of 5 stars,Chocolate flavor much better,  Chocolate flavor is much much better than fruit and nut flavour,neu,64,2020-08-10,8,2020
64,NARINDER CHAUHAN,Reviewed in India on 10 August 2020,5.0 out of 5 stars,"Yummy and tasty, loving it. Healthy breakfast.",  Jus loving the product.the packaging it's very very healthy and delicious. I have never had a breakfast this good and yummy.can add taste if you add milk and a teaspoon of honey 😄,pos,65,2020-08-10,8,2020
65,Abhilash Phukan,Reviewed in India on 10 August 2020,5.0 out of 5 stars,Good buy,  My family likes this muesli very much,neu,66,2020-08-10,8,2020
66,Umang sharma,Reviewed in India on 9 August 2020,3.0 out of 5 stars,good,  its good,neu,67,2020-08-09,8,2020
67,Sumit Soni,Reviewed in India on 9 August 2020,5.0 out of 5 stars,Super tasty muesli,  This is the one of the best muesli I ever ate.The flavour texture are awesome. I don't need to add fruit also because the fruit is like to flavoured and the dry fruit also as a very fresh and the rolled oats and all material all seeds are very good.This is healthy for me and my whole family. I order for myself then I'll order for my brother also and my sister also.,pos,68,2020-08-09,8,2020
68,Pooja Devlekar,Reviewed in India on 8 August 2020,5.0 out of 5 stars,Worth it,"  The quantity of the museli is very good and it do includes alots of healthy nuts in it. The flavour is good, it is sweet in taste. It is surely a value of money & the packaging is also nice.",pos,69,2020-08-08,8,2020
69,Shiv Shankar Ash,Reviewed in India on 8 August 2020,5.0 out of 5 stars,Superb taste!,  Awesome and so nutritious. A very welcome change to the routine breakfast.,pos,70,2020-08-08,8,2020
70,Ravindra,Reviewed in India on 8 August 2020,5.0 out of 5 stars,Complete breakfast,   Yogabar is my all time favourite for healthy stuffs. I loved tge flavour of this museli+ breakfast cereal. It loaded with dry fruits. Its a complete fibrous meal. Most importantly its a gluten free meal. Thr packaging can be improved but its a value for money deal. Highly recommended for regular healthy breakfast.,pos,71,2020-08-08,8,2020
71,Kaur B,Reviewed in India on 8 August 2020,5.0 out of 5 stars,Good,  Liked it. Good,pos,72,2020-08-08,8,2020
72,Yash,Reviewed in India on 8 August 2020,5.0 out of 5 stars,Fruits and seeds filled!,  Good amount of all the seeds and fruits needed for a wholesome breakfast.,neu,73,2020-08-08,8,2020
73,Sakshi Pandey,Reviewed in India on 7 August 2020,5.0 out of 5 stars,Superb testy,"  Go for it guys,it's fill your tummy for long time",neu,74,2020-08-07,8,2020
74,Loki,Reviewed in India on 6 August 2020,5.0 out of 5 stars,Best onw,  It's the best breakfast... superb.. enriched with fruits nuts n seeds.. tastes heavenly... go for it,pos,75,2020-08-06,8,2020
75,Antara Thakur,Reviewed in India on 6 August 2020,5.0 out of 5 stars,Nice flavour and smell,  Nice flavour and smell. A suggestion from my side is to let in soak in milk for 5-10 mins before eating. Way better than Kellogg's. It has more components too.,pos,76,2020-08-06,8,2020
76,Ethan,Reviewed in India on 5 August 2020,5.0 out of 5 stars,Healthy snack for breakfast,"  Amazing product, tastes good! A little less sweet and rich in protein. Can be used as a breakfast snack with milk.Go for it. It's healthy and tastes good!",pos,77,2020-08-05,8,2020
77,meenu,Reviewed in India on 5 August 2020,1.0 out of 5 stars,Preservatives Preservatives & Preservatives,"  Great packaging and nutritional values, But the moment you receive your box, open and smell it, you will only smell preservatives and chemicals. I have sour throat because of excessive chemicals in this product within 2 days of use. Don't waste your money on such products.",pos,78,2020-08-05,8,2020
78,Diya Roy,Reviewed in India on 5 August 2020,5.0 out of 5 stars,Excellent choice,  A little sugary so little children will like so much. An excellent mixture of nuts.,pos,79,2020-08-05,8,2020
79,Amazon Customer,Reviewed in India on 5 August 2020,5.0 out of 5 stars,Yeh Yoga Bar,"  It's been a few months since I discovered this mueslix flavour. I've been buying protein bars produced by the same company for more than a year now ergo I know quality is good.This large pack is unavailable in physical stores and even though it took a whole week to be delivered from Bangalore to Delhi, it's worth the wait as the product is very healthy and price very reasonable.",pos,80,2020-08-05,8,2020
80,Pooja Devlekar,Reviewed in India on 5 August 2020,3.0 out of 5 stars,Expiry date for musli.,  I received musli packat.but expiry date for mgf.,neu,81,2020-08-05,8,2020
81,Shiv Shankar Ash,Reviewed in India on 3 August 2020,5.0 out of 5 stars,Free from sugar and honey,"  I go for difficult to find, no sugar, no artificial sugar and no honey products, so Yoga bar is a perfect option.",neu,82,2020-08-03,8,2020
82,Mahindar B.,Reviewed in India on 2 August 2020,5.0 out of 5 stars,Perfect choice for breakfast!,  I loved it! Tastes amazing!!!♥️✌️,pos,83,2020-08-02,8,2020
83,Kindle Customer,Reviewed in India on 2 August 2020,3.0 out of 5 stars,Tasty doesn't mean healthy!!!,  The product is great in this price range. Tasty and have ample portion. I believed the sweetness outweighs the nutritional value here.,pos,84,2020-08-02,8,2020
84,Harsh Kumar Chaudhary,Reviewed in India on 2 August 2020,2.0 out of 5 stars,Did not meet expectations,  The product did not meet my expectations since fruits+nuts+ seeds flavor but i was supplied with chocolate flavor.,neu,85,2020-08-02,8,2020
85,Manish K.,Reviewed in India on 2 August 2020,5.0 out of 5 stars,Healthy and Delicious Breakfast .,"  Who Doesn't likes Healthy Breakfast. This Yogabar Fruits + nuts and seeds Muesli is so delicious and healthy. Best food for Breakfast with an affordable price. It contains 50% whole grain, 22% Dried Fruits like Raisins, cranberries, strawberries,  Blackcurrants. It's a power pack break fast with High Protein and High Fiber .",pos,86,2020-08-02,8,2020
86,Purabi c.,Reviewed in India on 2 August 2020,5.0 out of 5 stars,Ultimate taste,  Super quality and taste as well,pos,87,2020-08-02,8,2020
87,Amazon Customer,Reviewed in India on 2 August 2020,5.0 out of 5 stars,Good product ..,  Tastes good,neu,88,2020-08-02,8,2020
88,Baishan Chatterjee,Reviewed in India on 2 August 2020,4.0 out of 5 stars,Nice Museli Flavour,"  I have been using this museli from last one week.Its rich in taste and energy.It contains fruits,nuts and flex seeda,chia seeds which are high in proteins and fiber.",pos,89,2020-08-02,8,2020
89,batskhem lyngkhoi,Reviewed in India on 2 August 2020,5.0 out of 5 stars,Healthy breakfast at great price,"  I tried Dark chocolate and Cadbury varient as well as the fruits, nuts and seeds varient and both are delicious.It consists of healthy ingredients like flax seeds, Quinoa and oats. Perfect for everyday breakfast.",pos,90,2020-08-02,8,2020
90,A Dash,Reviewed in India on 1 August 2020,5.0 out of 5 stars,Love the smell!,  Nice smell!,neu,91,2020-08-01,8,2020
91,K.A. Raghavan,Reviewed in India on 1 August 2020,5.0 out of 5 stars,Great product except cost,"  Very good flavour, but the quantity will last for not more than a week.Everything is good, but cost wise not good",pos,92,2020-08-01,8,2020
92,Pooja Devlekar,Reviewed in India on 31 July 2020,3.0 out of 5 stars,Not upto mark,"  I personally don't like its flavour cause of mild strawberry scent, though its doesn't contain cornflakes at all , that's good part, but its hard while chewing. Before that i used Kellogg's musli with no sugar.. i think to switch back.. it's better",neu,93,2020-07-31,7,2020
93,Shiv Shankar Ash,Reviewed in India on 31 July 2020,4.0 out of 5 stars,Worth,  Good flavour. Contains seeds & nuts.Looks healthy,pos,94,2020-07-31,7,2020
94,Anoop C.,Reviewed in India on 31 July 2020,4.0 out of 5 stars,I prefer chocolate muesli,  Good diet product. But chocolate flavour is more good than this,pos,95,2020-07-31,7,2020
95,Rachel,Reviewed in India on 31 July 2020,4.0 out of 5 stars,Pricey but good,  Bit pricey for every day consumption.  But good quality.,pos,96,2020-07-31,7,2020
96,Amazon Customer,Reviewed in India on 30 July 2020,1.0 out of 5 stars,Filled with low quality ingredients,  It majorly contains poha,neu,97,2020-07-30,7,2020
97,Nisha,Reviewed in India on 29 July 2020,5.0 out of 5 stars,Taste buds are delighted.,  Can have it with or without milk. Natural ingredients make it to must have it. I feel little more quantity of nuts are required. Overall a good product.,neu,98,2020-07-29,7,2020
98,Manish Tiwari,Reviewed in India on 29 July 2020,5.0 out of 5 stars,"Simply Awesome,Tasty, Healthy,Value for money","  Really loved this flavour of yoga bar muesli,color and sweetness all natural ingredients with good amount of nuts and berries. Have tried so many brands but this is best. A very healthy and nutrition meal to have in morning. package was fresh and we'll packed and delivered on time.",pos,99,2020-07-29,7,2020
99,Vasbhi,Reviewed in India on 29 July 2020,4.0 out of 5 stars,Healthy and delightful,  Very good flavor and have alot of super food and healthy,pos,100,2020-07-29,7,2020
100,sourabh goyal,Reviewed in India on 29 July 2020,2.0 out of 5 stars,Average,  Average,neu,101,2020-07-29,7,2020
101,Vinay,Reviewed in India on 28 July 2020,1.0 out of 5 stars,Must reafdd😐😐😐,  Product is full of chunks...not good..not by big 750gm pack ever...only buy 500g..it is betr thn biggr one..,neu,102,2020-07-28,7,2020
102,captainplanetbetter,Reviewed in India on 27 July 2020,4.0 out of 5 stars,Product is good in all aspects,  Packaging is perfect and flavors also good. Overall value for money.,pos,103,2020-07-27,7,2020
103,Jobee Philip,Reviewed in India on 27 July 2020,5.0 out of 5 stars,Good product,"  Very tasty, waiting for more flavours to come.",neu,104,2020-07-27,7,2020
104,Pooja Devlekar,Reviewed in India on 27 July 2020,5.0 out of 5 stars,Good,  Found it bit expensive but its tasty and better than many muesli which tatse if sugar only..Only if it comes with sugarfree version(sucralose or Erythritol) it would be best,pos,105,2020-07-27,7,2020
105,Shiv Shankar Ash,Reviewed in India on 27 July 2020,5.0 out of 5 stars,Definitely a nutrition blast,  Crunchy and delicious. Go for it. 👍🏻,pos,106,2020-07-27,7,2020
106,Ravi Kumar,Reviewed in India on 26 July 2020,1.0 out of 5 stars,Very bad taste,  Very bad taste I was not able to eat,neg,107,2020-07-26,7,2020
107,Kasturi Das,Reviewed in India on 26 July 2020,5.0 out of 5 stars,awesome taste,  nice product,neu,108,2020-07-26,7,2020
108,Venkates,Reviewed in India on 26 July 2020,5.0 out of 5 stars,Tasty and healthy breakfast,  I bought this product for the first time and I am very happy with its quality and taste. The packaging was also very good. It has all the ingredients that a healthy breakfast should have.  I will recommend this product to all those who want a quick and healthy breakfast.,pos,109,2020-07-26,7,2020
109,RAMIZ RAJA,Reviewed in India on 25 July 2020,5.0 out of 5 stars,Healthy and Tasty,"  Smells yummy,  tastes delicious,  filling and healthy. Makes breakfast a happy event.",pos,110,2020-07-25,7,2020
110,Rijisha Mitra,Reviewed in India on 25 July 2020,5.0 out of 5 stars,Best,  Best muesli,pos,111,2020-07-25,7,2020
111,Atanu Bera,Reviewed in India on 25 July 2020,4.0 out of 5 stars,Go for it,  My stomach is full having this muesli. I like the taste but my daughter doesn't like the seeds which was coming while she was chewing.will try chocolate flavour for her.,neu,112,2020-07-25,7,2020
112,Amazon Customer,Reviewed in India on 24 July 2020,5.0 out of 5 stars,One of the best mueslis,  I have become a fan of yogabar products. Really nice flavor and ingredients.,pos,113,2020-07-24,7,2020
113,sridhar p.,Reviewed in India on 24 July 2020,5.0 out of 5 stars,Must buy for good health,"  Amazing taste, full of health, a must buy if health is your priority....best quality....loved it",pos,114,2020-07-24,7,2020
114,Umashankar,Reviewed in India on 21 July 2020,4.0 out of 5 stars,Go for it with out any doubt,  Very tasty and everyone loved it,pos,115,2020-07-21,7,2020
115,navneet kadian,Reviewed in India on 21 July 2020,5.0 out of 5 stars,phani,  Good,neu,116,2020-07-21,7,2020
116,Pooja Devlekar,Reviewed in India on 21 July 2020,4.0 out of 5 stars,Amazing taste and fresh smell. 😍,  When you open this yogabar packet you notice fresh smell of fruits nuts and berries. Also the taste is Crunchy and fresh. Price is little bit higher side when you see this packet only contain 700 grm. This packet is only for 5 to 7 days. Try to buy at least two packet for your minimum 10  days breakfast.,neu,117,2020-07-21,7,2020
117,Shiv Shankar Ash,Reviewed in India on 20 July 2020,3.0 out of 5 stars,Not good,  Not good flavor.. mostly sugar coated and less dried fruits,neu,118,2020-07-20,7,2020
118,Bijal c.,Reviewed in India on 20 July 2020,3.0 out of 5 stars,Good but costly,  Costly,neu,119,2020-07-20,7,2020
119,Gursharan,Reviewed in India on 19 July 2020,4.0 out of 5 stars,Smell,  I don't like the smell,neu,120,2020-07-19,7,2020
120,Amazon Customer,Reviewed in India on 19 July 2020,5.0 out of 5 stars,Great,  Good one... I have finished both of them.. I am going to repurchase... My dad and mom also likes this,pos,121,2020-07-19,7,2020
121,Thelma,Reviewed in India on 19 July 2020,5.0 out of 5 stars,Good Quality and Awesome taste,"  This muesli is really awesome, you should try ones. Filled with seeds and flavour is really far better than other muesli. Packaging is also air tight, which helps a lot  if you dont tranfer it in a jar.",pos,122,2020-07-19,7,2020
122,Amina khan,Reviewed in India on 19 July 2020,5.0 out of 5 stars,The Best,"  One of the most yummy muesli I have ever had. Be it's flavour, fragrance and most importantly it's ingredients, everything is just awesome. If yogabar will maintain its quality as it is, I will be your regular customer for sure. Keep up the good work!",pos,123,2020-07-19,7,2020
123,Devendra,Reviewed in India on 19 July 2020,4.0 out of 5 stars,Good,  I like this product,neu,124,2020-07-19,7,2020
124,Manmath Kumar Behera,Reviewed in India on 18 July 2020,5.0 out of 5 stars,Excellent Product ! Go for it!,  Delivers what is promised on the package. Lot of dried fruits. Excellent product.,pos,125,2020-07-18,7,2020
125,Rashi,Reviewed in India on 18 July 2020,5.0 out of 5 stars,Good,  Good for breakfast with milk.,neu,126,2020-07-18,7,2020
126,Shivam Kumar,Reviewed in India on 16 July 2020,4.0 out of 5 stars,Worth it,  Worth the money,neu,127,2020-07-16,7,2020
